AppID;Name;Publisher;Owners;Price;Discount;Tags;Genres;Languages;CCU;ScoreRank;AvgPlaytimeForever;AvgPlaytime2Weeks
2100;Dark Messiah of Might & Magic;Ubisoft;1,000,000 .. 2,000,000;2,49 USD;75%;;;;100;0;579;0
2450;Bloody Good Time;Ubisoft;100,000 .. 200,000;0,99 USD;80%;;;;2;0;337;0
3300;Bejeweled 2 Deluxe;Electronic Arts;50,000 .. 100,000;0,99 USD;80%;;;;41;0;38;0
3310;Chuzzle Deluxe;Electronic Arts;100,000 .. 200,000;0,99 USD;80%;;;;90;0;403;0
3320;Insaniquarium Deluxe;Electronic Arts;500,000 .. 1,000,000;0,99 USD;80%;;;;101;0;200;0
3330;Zuma Deluxe;Electronic Arts;500,000 .. 1,000,000;0,99 USD;80%;;;;807;0;146;70
3350;Bejeweled Deluxe;Electronic Arts;50,000 .. 100,000;0,99 USD;80%;;;;13;0;158;0
3390;Feeding Frenzy 2 Deluxe;Electronic Arts;100,000 .. 200,000;0,99 USD;80%;;;;48;0;308;0
3480;Peggle Deluxe;Electronic Arts;500,000 .. 1,000,000;0,99 USD;80%;;;;288;0;164;0
3483;Peggle Extreme;Electronic Arts;200,000 .. 500,000;0,00 USD;0%;;;;19;0;320;0
3540;Peggle Nights;Electronic Arts;200,000 .. 500,000;0,99 USD;80%;;;;116;0;175;0
3560;Bejeweled Twist;Electronic Arts;50,000 .. 100,000;0,99 USD;80%;;;;20;0;0;0
3590;Plants vs. Zombies GOTY Edition;Electronic Arts;2,000,000 .. 5,000,000;4,99 USD;0%;;;;3080;0;1539;263
3620;Zuma's Revenge!;Electronic Arts;200,000 .. 500,000;0,99 USD;80%;;;;246;0;1465;0
4300;RoboBlitz;Ubisoft;20,000 .. 50,000;9,99 USD;0%;;;;0;0;3;0
6600;Bullet Candy;Electronic Arts;50,000 .. 100,000;3,99 USD;0%;;;;0;0;4;0
6870;Battlestations: Midway;Square Enix;500,000 .. 1,000,000;0,97 USD;86%;;;;9;0;96;0
6880;Just Cause;Square Enix;1,000,000 .. 2,000,000;0,97 USD;86%;;;;12;0;538;0
7010;Project: Snowblind;Square Enix;100,000 .. 200,000;0,89 USD;85%;;;;1;0;62;0
7110;Jade Empire: Special Edition;Electronic Arts;200,000 .. 500,000;3,74 USD;75%;;;;11;0;415;0
7200;Trackmania United Forever;Ubisoft;200,000 .. 500,000;14,99 USD;50%;;;;103;0;864;0
8080;Kane and Lynch: Dead Men;Square Enix;500,000 .. 1,000,000;0,00 USD;0%;;;;6;0;145;0
8100;Conflict: Denied Ops;Square Enix;100,000 .. 200,000;0,89 USD;85%;;;;1;0;20;0
8170;Battlestations Pacific;Square Enix;200,000 .. 500,000;0,00 USD;0%;;;;13;0;395;0
8190;Just Cause 2;Square Enix;2,000,000 .. 5,000,000;1,49 USD;90%;;;;165;0;2203;0
9350;Supreme Commander;Square Enix;500,000 .. 1,000,000;2,59 USD;80%;;;;95;0;1963;0
9420;Supreme Commander: Forged Alliance;Square Enix;1,000,000 .. 2,000,000;2,59 USD;80%;;;;1398;0;6174;503
11020;TrackMania Nations Forever;Ubisoft;2,000,000 .. 5,000,000;0,00 USD;0%;;;;304;0;395;38
11450;Overlord;Electronic Arts;500,000 .. 1,000,000;1,09 USD;78%;;;;58;0;309;0
11560;Maelstrom: The Battle for Earth Begins;Electronic Arts;20,000 .. 50,000;0,00 USD;0%;;;;1;0;0;0
11590;Hospital Tycoon;Electronic Arts;20,000 .. 50,000;0,00 USD;0%;;;;2;0;52;0
12710;Overlord: Raising Hell;Electronic Arts;500,000 .. 1,000,000;1,99 USD;80%;;;;56;0;256;0
12770;Rise of the Argonauts;Electronic Arts;200,000 .. 500,000;0,00 USD;0%;;;;0;0;196;0
12790;Damnation;Electronic Arts;100,000 .. 200,000;0,00 USD;0%;;;;0;0;20;0
12810;Overlord II;Electronic Arts;1,000,000 .. 2,000,000;1,99 USD;80%;;;;52;0;452;0
12830;Operation Flashpoint: Dragon Rising;Electronic Arts;500,000 .. 1,000,000;0,00 USD;0%;;;;10;0;488;0
12900;AudioSurf;Electronic Arts;1,000,000 .. 2,000,000;2,49 USD;75%;;;;17;0;293;0
13500;Prince of Persia: Warrior Within;Ubisoft;200,000 .. 500,000;1,99 USD;80%;;;;60;0;391;0
13520;Far Cry;Ubisoft;2,000,000 .. 5,000,000;2,99 USD;70%;;;;149;0;369;0
13530;Prince of Persia: The Two Thrones;Ubisoft;200,000 .. 500,000;1,99 USD;80%;;;;30;0;488;0
13540;Tom Clancy's Rainbow Six Vegas;Ubisoft;200,000 .. 500,000;2,49 USD;75%;;;;22;0;224;0
13560;Tom Clancy's Splinter Cell;Ubisoft;500,000 .. 1,000,000;2,49 USD;75%;;;;52;0;370;73
13570;Tom Clancy's Splinter Cell Chaos Theory;Ubisoft;500,000 .. 1,000,000;2,49 USD;75%;;;;65;0;600;0
13580;Tom Clancy's Splinter Cell Double Agent;Ubisoft;200,000 .. 500,000;2,49 USD;75%;;;;8;0;299;0
13600;Prince of Persia: The Sands of Time;Ubisoft;500,000 .. 1,000,000;1,99 USD;80%;;;;44;0;241;1
13620;Tom Clancy's Ghost Recon Desert Siege;Ubisoft;20,000 .. 50,000;1,24 USD;75%;;;;2;0;771;0
13630;Tom Clancy's Ghost Recon Island Thunder;Ubisoft;20,000 .. 50,000;1,24 USD;75%;;;;1;0;850;0
15000;Tom Clancy's Rainbow Six Lockdown;Ubisoft;200,000 .. 500,000;2,49 USD;75%;;;;1;0;441;0
15080;Rayman Raving Rabbids;Ubisoft;100,000 .. 200,000;2,49 USD;75%;;;;24;0;20;0
15100;Assassin's Creed: Director's Cut Edition;Ubisoft;1,000,000 .. 2,000,000;4,99 USD;75%;;;;311;0;536;131
15120;Tom Clancy's Rainbow Six Vegas 2;Ubisoft;500,000 .. 1,000,000;2,49 USD;75%;;;;52;0;756;0
15130;Beyond Good and Evil;Ubisoft;200,000 .. 500,000;0,00 USD;0%;;;;3;0;190;0
15170;Heroes of Might & Magic V;Ubisoft;500,000 .. 1,000,000;2,49 USD;75%;;;;357;0;872;0
15190;Brothers in Arms: Road to Hill 30;Ubisoft;200,000 .. 500,000;3,99 USD;60%;;;;31;0;265;0
15200;Silent Hunter: Wolves of the Pacific;Ubisoft;100,000 .. 200,000;2,49 USD;75%;;;;36;0;512;0
15210;Silent Hunter III;Ubisoft;200,000 .. 500,000;2,49 USD;75%;;;;54;0;3431;0
15240;Silent Hunter: Wolves of the Pacific U-Boat Missions;Ubisoft;50,000 .. 100,000;2,49 USD;75%;;;;12;0;140;0
15270;Cold Fear;Ubisoft;50,000 .. 100,000;1,99 USD;80%;;;;8;0;134;0
15300;Tom Clancy's Ghost Recon;Ubisoft;200,000 .. 500,000;2,99 USD;70%;;;;22;0;143;0
15370;Heroes of Might & Magic V: Tribes of the East;Ubisoft;200,000 .. 500,000;2,49 USD;75%;;;;156;0;793;0
15380;Heroes of Might & Magic V: Hammers of Fate;Ubisoft;50,000 .. 100,000;2,49 USD;75%;;;;24;0;3235;0
15390;Brothers in Arms: Hell's Highway;Ubisoft;200,000 .. 500,000;3,99 USD;60%;;;;17;0;536;0
17300;Crysis;Electronic Arts;1,000,000 .. 2,000,000;7,49 USD;75%;;;;19;0;695;0
17330;Crysis Warhead;Electronic Arts;1,000,000 .. 2,000,000;4,99 USD;75%;;;;17;0;265;0
17390;SPORE;Electronic Arts;2,000,000 .. 5,000,000;3,99 USD;80%;;;;1337;0;1280;0
17410;Mirror's Edge;Electronic Arts;2,000,000 .. 5,000,000;2,99 USD;85%;;;;137;0;357;11
17430;Need for Speed Undercover;Electronic Arts;1,000,000 .. 2,000,000;0,00 USD;0%;;;;29;0;579;0
17440;SPORE Creepy & Cute Parts Pack;Electronic Arts;200,000 .. 500,000;3,99 USD;80%;;;;27;0;173;0
17450;Dragon Age: Origins;Electronic Arts;500,000 .. 1,000,000;5,99 USD;80%;;;;20;0;1681;0
17460;Mass Effect (2007);Electronic Arts;1,000,000 .. 2,000,000;7,49 USD;75%;;;;47;0;1645;0
17470;Dead Space (2008);Electronic Arts;2,000,000 .. 5,000,000;7,99 USD;60%;;;;93;0;311;0
17480;Command & Conquer: Red Alert 3;Electronic Arts;1,000,000 .. 2,000,000;9,88 USD;0%;;;;679;0;2524;20
18040;DeathSpank;Electronic Arts;100,000 .. 200,000;2,99 USD;80%;;;;1;0;158;0
18050;DeathSpank: Thongs of Virtue;Electronic Arts;50,000 .. 100,000;2,99 USD;80%;;;;0;0;45;0
19680;Alice: Madness Returns;Electronic Arts;2,000,000 .. 5,000,000;0,99 USD;90%;;;;680;0;262;4
19800;Brothers in Arms: Earned in Blood;Ubisoft;100,000 .. 200,000;3,99 USD;60%;;;;22;0;89;0
19830;Tom Clancy's Rainbow Six 3 Gold;Ubisoft;200,000 .. 500,000;2,49 USD;75%;;;;24;0;37;0
19900;Far Cry 2;Ubisoft;1,000,000 .. 2,000,000;2,99 USD;70%;;;;217;0;507;38
