Datum,Unternehmenscode,Schlusspreis
2025-03-14,EA,138.7100
2025-03-13,EA,137.7200
2025-03-12,EA,136.1200
2025-03-11,EA,137.8800
2025-03-10,EA,140.4300
2025-03-07,EA,140.0400
2025-03-06,EA,136.7900
2025-03-05,EA,134.0500
2025-03-04,EA,131.8200
2025-03-03,EA,129.2300
2025-02-28,EA,129.1200
2025-02-27,EA,130.4600
2025-02-26,EA,131.1900
2025-02-25,EA,131.7300
2025-02-24,EA,134.0500
2025-02-21,EA,130.9500
2025-02-20,EA,129.9900
2025-02-19,EA,129.3400
2025-02-18,EA,128.3500
2025-02-14,EA,129.4000
2025-02-13,EA,129.8200
2025-02-12,EA,131.1700
2025-02-11,EA,133.3500
2025-02-10,EA,132.0900
2025-02-07,EA,128.6000
2025-02-06,EA,132.0000
2025-02-05,EA,130.4700
2025-02-04,EA,121.2500
2025-02-03,EA,122.9100
2025-01-31,EA,122.9100
2025-01-30,EA,118.6800
2025-01-29,EA,117.1000
2025-01-28,EA,116.5300
2025-01-27,EA,117.9100
2025-01-24,EA,116.5600
2025-01-23,EA,118.5800
2025-01-22,EA,142.3500
2025-01-21,EA,143.2800
2025-01-17,EA,142.0000
2025-01-16,EA,141.4000
2025-01-15,EA,142.1300
2025-01-14,EA,141.7500
2025-01-13,EA,141.9600
2025-01-10,EA,140.8500
2025-01-08,EA,144.2000
2025-01-07,EA,144.6700
2025-01-06,EA,145.2500
2025-01-03,EA,146.2900
2025-01-02,EA,145.9000
2024-12-31,EA,146.3000
2024-12-30,EA,146.5400
2024-12-27,EA,148.1200
2024-12-26,EA,149.0700
2024-12-24,EA,149.1800
2024-12-23,EA,147.3000
2024-12-20,EA,147.8000
2024-12-19,EA,147.8900
2024-12-18,EA,149.9200
2024-12-17,EA,154.7900
2024-12-16,EA,156.4000
2024-12-13,EA,157.6200
2024-12-12,EA,162.5900
2024-12-11,EA,163.9200
2024-12-10,EA,165.3000
2024-12-09,EA,165.6100
2024-12-06,EA,167.0100
2024-12-05,EA,165.6200
2024-12-04,EA,167.4200
2024-12-03,EA,167.7000
2024-12-02,EA,165.9600
2024-11-29,EA,163.6700
2024-11-27,EA,163.1000
2024-11-26,EA,165.0200
2024-11-25,EA,164.1400
2024-11-22,EA,166.6700
2024-11-21,EA,167.9700
2024-11-20,EA,166.7100
2024-11-19,EA,166.1300
2024-11-18,EA,164.0100
2024-11-15,EA,161.3600
2024-11-14,EA,164.1200
2024-11-13,EA,162.7200
2024-11-12,EA,162.8700
2024-11-11,EA,159.3900
2024-11-08,EA,157.9100
2024-11-07,EA,160.0000
2024-11-06,EA,157.9600
2024-11-05,EA,155.5000
2024-11-04,EA,152.8900
2024-11-01,EA,151.2600
2024-10-31,EA,150.8500
2024-10-30,EA,149.1400
2024-10-29,EA,145.6200
2024-10-28,EA,144.1800
2024-10-25,EA,145.2000
2024-10-24,EA,145.0300
2024-10-23,EA,144.8600
2024-10-22,EA,145.7200
2024-10-21,EA,145.7100
2024-10-18,EA,144.3500
2024-10-17,EA,144.2000
2024-10-16,EA,145.0400
2024-10-15,EA,146.4200
2024-10-14,EA,144.1700
2024-10-11,EA,143.2400
2024-10-10,EA,141.9700
2024-10-09,EA,143.7400
2024-10-08,EA,143.3300
2024-10-07,EA,142.9000
2024-10-04,EA,142.7000
2024-10-03,EA,140.6900
2024-10-02,EA,143.2000
2024-10-01,EA,142.2500
2024-09-30,EA,143.4400
2024-09-27,EA,144.6500
2024-09-26,EA,143.6100
2024-09-25,EA,141.4800
2024-09-24,EA,141.6400
2024-09-23,EA,141.0700
2024-09-20,EA,139.5500
